Match Number,Total Amount Earned by App,Losing Players Balance 1,Losing Players Balance 2,Losing Players Balance 3,Winning Player Balance,Amount to be Credited to App
86,29.642,5.412,3.554,2.172,21.407,0.57
96,30.625,5.921,1.342,3.706,37.562,0.36
193,59.883,3.507,2.485,1.424,31.038,0.382
145,42.6,2.03,2.736,6.647,38.266,0.412
190,59.261,3.93,5.232,5.442,19.106,0.495
73,23.085,2.731,4.306,6.419,24.648,0.105
95,27.235,6.095,1.454,1.71,43.507,0.585
111,32.27,6.372,2.277,1.83,39.167,0.495
84,24.468,3.045,5.297,3.294,36.913,0.292
126,38.359,3.756,5.553,3.579,19.554,0.57
87,26.976,3.019,1.081,4.134,23.771,0.188
187,56.68,3.671,6.61,3.861,44.29,0.465
99,30.808,1.97,7.07,5.468,18.697,0.232
49,14.793,3.37,2.099,3.295,33.41,0.352
144,43.388,2.708,3.924,0.597,27.013,0.555
44,15.716,6.534,2.279,3.402,21.177,0.593
119,35.687,3.387,6.596,1.085,34.665,0.517
154,44.76,3.188,4.103,2.084,38.824,0.225
174,50.448,5.595,3.616,1.373,44.265,0.285
106,31.106,5.256,2.827,3.88,40.14,0.203
125,36.462,3.788,0.851,5.749,49.195,0.375
55,14.718,2.554,5.142,2.415,35.807,0.255
153,44.879,3.698,3.981,6.694,57.22,0.562
207,65.04,2.528,7.414,3.544,39.365,0.547
156,45.961,3.874,7.281,0.617,34.789,0.593
56,17.694,3.002,3.859,4.744,40.689,0.33
174,48.87,6.147,3.911,2.78,30.685,0.465
50,15.314,0.562,3.895,5.218,37.301,0.405
152,43.856,3.357,2.416,5.526,41.803,0.27
120,37.732,5.807,3.059,5.964,23.356,0.322
97,30.746,2.829,3.714,1.621,34.729,0.45
118,39.212,3.468,7.604,2.079,23.308,0.57
30,8.84,3.746,1.837,2.416,38.679,0.21
75,22.468,4.893,6.441,2.851,38.87,0.412
124,36.979,7.308,4.689,2.533,25.868,0.547
47,14.612,2.411,3.119,3.694,26.348,0.105
140,43.787,3.635,3.29,7.487,28.439,0.585
170,54.058,2.16,4.883,3.988,26.751,0.412
58,15.923,3.534,7.626,3.5,65.902,0.57
200,60.827,3.245,3.345,6.453,27.599,0.427
16,4.905,3.214,2.553,3.985,31.926,0.345
154,46.348,5.989,1.099,4.481,24.231,0.57
161,46.939,6.956,3.978,2.13,31.474,0.555
116,35.836,2.499,2.498,4.065,20.171,0.345
128,42.118,5.195,1.271,0.813,24.247,0.443
64,19.604,3.231,1.208,5.797,36.406,0.382
107,35.084,7.074,2.285,2.815,35.788,0.51
107,35.084,7.074,2.285,2.815,35.788,0.51
41,13.592,5.146,3.522,3.487,42.873,0.255
132,39.798,1.237,6.751,1.536,41.518,0.525
84,26.087,2.737,3.292,4.435,30.046,0.405
99,32.985,4.827,3.573,3.361,37.373,0.555
30,8.74,4.129,3.586,2.602,46.909,0.022
63,18.317,4.601,3.316,2.179,37.781,0.3
204,59.749,2.764,3.279,3.543,23.703,0.225
